id,result,label
0,Probabilistic Methods,3
1,Reinforcement Learning,4
2,Probabilistic Methods,3
3,Case Based,0
4,Probabilistic Methods,3
5,Neural Networks,2
6,Case Based,0
7,Probabilistic Methods,3
8,Probabilistic Methods,3
9,Neural Networks,2
10,Genetic Algorithms,1
11,Case Based,0
12,Reinforcement Learning,4
13,Probabilistic Methods,3
14,Probabilistic Methods,3
15,Probabilistic Methods,3
16,Neural Networks,2
17,Probabilistic Methods,3
18,Genetic Algorithms,1
19,Probabilistic Methods,3
20,Rule Learning,5
21,Probabilistic Methods,3
22,Reinforcement Learning,4
23,Theory,6
24,Neural Networks,2
25,Probabilistic Methods,3
26,Theory,6
27,Case Based,0
28,Neural Networks,2
29,Reinforcement Learning,4
30,Neural Networks,2
31,Rule Learning,5
32,Case Based,0
33,Reinforcement Learning,4
34,Neural Networks,2
35,Case Based,0
36,Genetic Algorithms,1
37,Rule Learning,5
38,Case Based,0
39,Reinforcement Learning,4
40,Probabilistic Methods,3
41,Case Based,0
42,Theory,6
43,Reinforcement Learning,4
44,Probabilistic Methods,3
45,Probabilistic Methods,3
46,Neural Networks,2
47,Rule Learning,5
48,Probabilistic Methods,3
49,Reinforcement Learning,4
50,Rule Learning,5
51,Probabilistic Methods,3
52,Case Based,0
53,Neural Networks,2
54, Case Based,0
55,Reinforcement Learning,4
56,Theory,6
57,Case Based,0
58,Neural Networks,2
59,Neural Networks,2
60,Rule Learning,5
61,Case Based,0
62,Case Based,0
63,Reinforcement Learning,4
64,Neural Networks,2
65,Case Based,0
66,Reinforcement Learning,4
67,Case Based,0
68,Neural Networks,2
69,Case Based,0
70,Rule Learning,5
71,Probabilistic Methods,3
72,Neural Networks,2
73,Neural Networks,2
74,Case Based,0
75,Reinforcement Learning,4
76,Case Based,0
77,Case Based,0
78,Probabilistic Methods,3
79,Case Based,0
80,Case Based,0
81,Case Based,0
82,Reinforcement Learning,4
83,Neural Networks,2
84,Reinforcement Learning,4
85,Genetic Algorithms,1
86,Case Based,0
87,The selected label is: Theory,6
88,Value Function Based Production Scheduling,1
89,Reinforcement Learning,4
90,Neural Networks,2
91,Reinforcement Learning,4
92,Theory,6
93, Theory,6
94,Reinforcement Learning,4
95,Probabilistic Methods,3
96,Theory,6
97,Rule Learning,5
98,Case Based,0
99,"The selected label is:

Theory",6
100,Case Based,0
101,Neural Networks,2
102,Case Based,0
103,Genetic Algorithms,1
